Date,Mortgage Rate,Interest Rate
2005-01-01,5.6,2.75
2005-02-01,5.59,2.75
2005-03-01,5.6,2.75
2005-04-01,5.67,2.75
2005-05-01,5.55,2.75
2005-06-01,5.31,2.75
2005-07-01,5.26,2.75
2005-08-01,5.32,2.75
2005-09-01,5.3,3
2005-10-01,5.39,3.25
2005-11-01,5.56,3.25
2005-12-01,5.6,3.5
2006-01-01,5.65,3.75
2006-02-01,5.75,3.75
2006-03-01,5.78,4
2006-04-01,5.88,4.25
2006-05-01,6.05,4.5
2006-06-01,6.12,4.5
2006-07-01,6.26,4.5
2006-08-01,6.24,4.5
2006-09-01,6.13,4.5
2006-10-01,6.01,4.5
2006-11-01,5.99,4.5
2006-12-01,5.89,4.5
2007-01-01,5.91,4.5
2007-02-01,6,4.5
2007-03-01,5.91,4.5
2007-04-01,5.92,4.5
2007-05-01,6.01,4.5
2007-06-01,6.51,4.5
2007-07-01,6.6,4.75
2007-08-01,6.62,4.75
2007-09-01,6.61,4.75
2007-10-01,6.69,4.75
2007-11-01,6.73,4.75
2007-12-01,6.75,4.5
2008-01-01,6.81,4.25
2008-02-01,6.72,4.25
2008-03-01,6.6,3.75
2008-04-01,6.4,3.25
2008-05-01,6.21,3.25
2008-06-01,6.2,3.25
2008-07-01,6.37,3.25
2008-08-01,6.25,3.25
2008-09-01,6.16,3.25
2008-10-01,6.46,2.5
2008-11-01,6.51,2.5
2008-12-01,6.17,1.75
2009-01-01,5.78,1.25
2009-02-01,5.28,1.25
2009-03-01,5.14,0.75
2009-04-01,4.79,0.5
2009-05-01,4.62,0.5
2009-06-01,4.9,0.5
2009-07-01,5.14,0.5
2009-08-01,5.13,0.5
2009-09-01,4.97,0.5
2009-10-01,5,0.5
2009-11-01,5.06,0.5
2009-12-01,4.83,0.5
2010-01-01,4.8,0.5
2010-02-01,4.73,0.5
2010-03-01,4.71,0.5
2010-04-01,5.15,0.5
2010-05-01,5.3,0.5
2010-06-01,5.18,0.75
2010-07-01,5.02,1
2010-08-01,4.82,1
2010-09-01,4.6,1.25
2010-10-01,4.52,1.25
2010-11-01,4.45,1.25
2010-12-01,4.5,1.25
2011-01-01,4.55,1.25
2011-02-01,4.68,1.25
2011-03-01,4.7,1.25
2011-04-01,4.87,1.25
2011-05-01,4.83,1.25
2011-06-01,4.6,1.25
2011-07-01,4.57,1.25
2011-08-01,4.52,1.25
2011-09-01,4.42,1.25
2011-10-01,4.35,1.25
2011-11-01,4.38,1.25
2011-12-01,4.36,1.25
2012-01-01,4.31,1.25
2012-02-01,4.23,1.25
2012-03-01,4.21,1.25
2012-04-01,4.36,1.25
2012-05-01,4.35,1.25
2012-06-01,4.25,1.25
2012-07-01,4.23,1.25
2012-08-01,4.23,1.25
2012-09-01,4.2,1.25
2012-10-01,4.17,1.25
2012-11-01,4.15,1.25
2012-12-01,4.15,1.25
2013-01-01,4.14,1.25
2013-02-01,4.11,1.25
2013-03-01,4.02,1.25
2013-04-01,4.02,1.25
2013-05-01,4.02,1.25
2013-06-01,4,1.25
2013-07-01,4.08,1.25
2013-08-01,4.14,1.25
2013-09-01,4.33,1.25
2013-10-01,4.4,1.25
2013-11-01,4.39,1.25
2013-12-01,4.39,1.25
2014-01-01,4.38,1.25
2014-02-01,4.32,1.25
2014-03-01,4.16,1.25
2014-04-01,4.02,1.25
2014-05-01,4.02,1.25
2014-06-01,4,1.25
2014-07-01,4.01,1.25
2014-08-01,4.01,1.25
2014-09-01,4.02,1.25
2014-10-01,4,1.25
2014-11-01,4,1.25
2014-12-01,3.98,1.25
2015-01-01,3.96,1
2015-02-01,3.91,1
2015-03-01,3.84,1
2015-04-01,3.76,1
2015-05-01,3.74,1
2015-06-01,3.72,1
2015-07-01,3.71,0.75
2015-08-01,3.71,0.75
2015-09-01,3.71,0.75
2015-10-01,3.72,0.75
2015-11-01,3.72,0.75
2015-12-01,3.75,0.75
2016-01-01,3.76,0.75
2016-02-01,3.75,0.75
2016-03-01,3.73,0.75
2016-04-01,3.7,0.75
2016-05-01,3.67,0.75
2016-06-01,3.66,0.75
2016-07-01,3.67,0.75
2016-08-01,3.68,0.75
2016-09-01,3.67,0.75
2016-10-01,3.68,0.75
2016-11-01,3.7,0.75
2016-12-01,3.74,0.75
2017-01-01,3.73,0.75
2017-02-01,3.75,0.75
2017-03-01,3.66,0.75
2017-04-01,3.62,0.75
2017-05-01,3.59,0.75
2017-06-01,3.6,0.75
2017-07-01,3.72,1
2017-08-01,3.82,1
2017-09-01,3.89,1.25
2017-10-01,3.98,1.25
2017-11-01,4.04,1.25
2017-12-01,4.07,1.25
2018-01-01,4.14,1.5
2018-02-01,4.26,1.5
2018-03-01,4.27,1.5
2018-04-01,4.27,1.5
2018-05-01,4.35,1.5
2018-06-01,4.32,1.5
2018-07-01,4.42,1.75
2018-08-01,4.43,1.75
2018-09-01,4.43,1.75
2018-10-01,4.48,2
2018-11-01,4.38,2
2018-12-01,4.59,2
2019-01-01,4.59,2
2019-02-01,4.52,2
2019-03-01,4.44,2
2019-04-01,4.33,2
2019-05-01,4.3,2
2019-06-01,4.23,2
2019-07-01,4.14,2
2019-08-01,4.08,2
2019-09-01,4.07,2
2019-10-01,4.09,2
2019-11-01,4.09,2
2019-12-01,4.08,2
2020-01-01,4.08,2
2020-02-01,4.08,2
2020-03-01,3.9,1
2020-04-01,3.95,0.5
2020-05-01,3.86,0.5
2020-06-01,3.77,0.5
2020-07-01,3.64,0.5
2020-08-01,3.57,0.5
2020-09-01,3.51,0.5
2020-10-01,3.45,0.5
2020-11-01,3.42,0.5
2020-12-01,3.34,0.5
2021-01-01,3.3,0.5
2021-02-01,3.25,0.5
2021-03-01,3.26,0.5
2021-04-01,3.25,0.5
2021-05-01,3.25,0.5
2021-06-01,3.26,0.5
2021-07-01,3.2,0.5
2021-08-01,3.2,0.5
2021-09-01,3.22,0.5
2021-10-01,3.29,0.5
2021-11-01,3.4,0.5
2021-12-01,3.45,0.5
2022-01-01,3.44,0.5
2022-02-01,3.58,0.5
2022-03-01,3.77,0.75
2022-04-01,4.19,1.25
2022-05-01,4.63,1.25